Date,AAPL,AMZN,GOOGL,MSFT,TSLA
4/21/2020,64.84516144,116.4059982,60.11118317,159.4132843,45.78133392
4/22/2020,66.71290588,118.1744995,62.40472412,164.8278198,48.8073349
4/23/2020,66.45438385,119.9725037,63.03748703,162.8329926,47.04199982
4/24/2020,68.37289429,120.5110016,63.30676651,165.8061981,48.3433342
4/27/2020,68.42121887,118.8000031,63.02212143,165.331192,53.25
4/28/2020,67.31215668,115.7040024,61.12430954,161.3036499,51.27466583
4/29/2020,69.52301788,118.635498,66.5588913,168.5419006,53.36733246
4/30/2020,70.98968506,123.6999969,66.78303528,170.2327881,52.12533188
5/1/2020,69.84677887,114.302002,65.32608032,165.8251953,46.75466537
5/4/2020,70.83506012,115.7994995,65.6027832,169.8812714,50.74599838
5/5/2020,71.89820862,115.8899994,66.89809418,171.7051239,51.2140007
5/6/2020,72.63999176,117.5630035,66.72006226,173.3959351,52.17200089
5/7/2020,73.39144897,118.3805008,67.90277863,174.4028625,52.00266647
5/8/2020,75.13830566,118.9804993,68.64962769,175.4287567,54.62799835
5/11/2020,76.32064819,120.4499969,69.60421753,177.3855743,54.08599854
5/12/2020,75.4484024,117.8475037,68.19538116,173.3674622,53.96066666
5/13/2020,74.53742218,118.3960037,66.86387634,170.745697,52.73066711
5/14/2020,74.99533081,119.4424973,67.28686523,171.4866638,53.55533218
5/15/2020,74.55197144,120.4889984,68.09024048,173.9848785,53.27799988
5/18/2020,76.3085022,121.3130035,68.69126129,175.6472168,54.24200058
5/19/2020,75.86755371,122.4664993,68.1566925,174.4313354,53.86733246
5/20/2020,77.3430481,124.8970032,69.88044739,176.8508301,54.3706665
5/21/2020,76.7664032,122.336998,69.76093292,174.7266388,55.17333221
5/22/2020,77.26066589,121.8440018,70.0827713,174.8028412,54.45866776
5/26/2020,76.73735046,121.0930023,70.48594666,172.9549408,54.59133148
5/27/2020,77.07167816,120.5195007,70.43188477,173.1835175,54.68199921
5/28/2020,77.10560608,120.0550003,70.33071136,172.792984,53.72066879
5/29/2020,77.03049469,122.1184998,71.08846283,174.5551758,55.66666794
6/1/2020,77.97782135,123.552002,71.15540314,174.1551514,59.87333298
