Date,AAPL,AMZN,GOOGL,MSFT,TSLA
1/3/2020,-0.009721823,-0.012139035,-0.005231191,-0.012451851,0.029633258
1/6/2020,0.007968035,0.014885574,0.02665385,0.002585075,0.019254637
1/7/2020,-0.004702975,0.00209162,-0.001931629,-0.009117667,0.038800525
1/8/2020,0.01608612,-0.00780864,0.007117852,0.01592815,0.049204826
1/9/2020,0.021240659,0.004799175,0.010497789,0.012492973,-0.021945012
1/10/2020,0.002260785,-0.009410597,0.006458931,-0.004627196,-0.006627298
1/13/2020,0.0213642,0.004322578,0.007746713,0.012024699,0.097688959
1/14/2020,-0.013503151,-0.011558212,-0.006555328,-0.007043211,0.024882822
1/15/2020,-0.004285346,-0.003969127,0.0060185,0.006476316,-0.036102014
1/16/2020,0.012526591,0.008549911,0.00761527,0.018323354,-0.009662478
1/17/2020,0.011070731,-0.007039661,0.020245995,0.005596517,-0.005822894
1/21/2020,-0.006776591,0.014629525,0.001845436,-0.003590462,0.071890306
1/22/2020,0.003569229,-0.002399549,0.001092746,-0.004804726,0.040862644
1/23/2020,0.004815967,-0.001525911,0.000552412,0.006155685,0.004635122
1/24/2020,-0.002881858,-0.012172427,-0.012473702,-0.010077132,-0.012897603
1/27/2020,-0.029405392,-0.017887464,-0.023489789,-0.016722882,-0.012039273
1/28/2020,0.028289382,0.013624366,0.013110043,0.019595504,0.015913383
1/29/2020,0.020932509,0.002563098,0.004274149,0.015593045,0.024854514
1/30/2020,-0.001449209,0.006824489,-0.001681704,0.028207394,0.102962259
1/31/2020,-0.044338869,0.073791356,-0.014763687,-0.014758567,0.01523069
2/3/2020,-0.002746062,-0.002250169,0.034771676,0.02437873,0.198948594
2/4/2020,0.033013338,0.022687342,-0.025084258,0.032916591,0.137256402
2/5/2020,0.0081543,-0.004781237,0.000442683,-0.001221285,-0.171758395
2/6/2020,0.011697026,0.005078733,0.020690807,0.020733608,0.019409317
2/7/2020,-0.013592514,0.014169136,0.002127454,0.001415916,-0.001188324
2/10/2020,0.004749456,0.02627358,0.019977978,0.026157061,0.031026496
2/11/2020,-0.006033222,0.007915026,0.000928197,-0.022575624,0.004019261
2/12/2020,0.023747764,0.00427747,0.005675275,0.001463843,-0.009155658
2/13/2020,-0.007121315,-0.004689817,-0.003450644,-0.005413674,0.047843653
2/14/2020,0.000246677,-0.006977166,0.003528467,0.008927029,-0.004937756
2/18/2020,-0.018310911,0.009742991,0.000467606,0.010142886,0.072959713
2/19/2020,0.014482741,0.00674965,0.003573651,0.002999167,0.068755809
2/20/2020,-0.010259075,-0.007888627,-0.005167549,-0.015271183,-0.019631105
2/21/2020,-0.022634905,-0.026533823,-0.022103088,-0.031612497,0.001767809
2/24/2020,-0.047500135,-0.04135555,-0.042872615,-0.043115536,-0.074594903
2/25/2020,-0.033872372,-0.018190499,-0.023622054,-0.016501965,-0.04063374
2/26/2020,0.015863795,0.003472315,0.002993593,0.01249494,-0.026390471
2/27/2020,-0.065368124,-0.048136265,-0.054312806,-0.070458809,-0.12814584
2/28/2020,-0.000585282,-0.000291847,0.018479787,0.02421258,-0.016215048
3/2/2020,0.093101105,0.037266114,0.03514674,0.066539086,0.113220343
3/3/2020,-0.031759517,-0.023009811,-0.035056718,-0.047919489,0.00254161
3/4/2020,0.046384776,0.035013229,0.032801883,0.036715234,0.005352017
3/5/2020,-0.032436838,-0.026216794,-0.048378706,-0.025095356,-0.03330223
3/6/2020,-0.013280523,-0.011922924,-0.014466321,-0.028267425,-0.029066705
3/9/2020,-0.079092021,-0.052853832,-0.061702268,-0.067772176,-0.135725257
3/10/2020,0.072021949,0.050655067,0.048840631,0.068383928,0.061398024
3/11/2020,-0.034730866,-0.037508896,-0.050401218,-0.045301917,-0.017200453
3/12/2020,-0.098754439,-0.079220825,-0.082046425,-0.0948383,-0.116172423
3/13/2020,0.119807849,0.064648337,0.092411639,0.142168907,-0.024850554
3/16/2020,-0.128646581,-0.053697517,-0.116341519,-0.147390413,-0.185778065
3/17/2020,0.043969945,0.070266132,0.041994402,0.082336573,-0.033410464
3/18/2020,-0.024479981,0.012257741,-0.024032666,-0.042095867,-0.160344041
3/19/2020,-0.007662117,0.027830614,0.018768427,0.016452689,0.183876842
3/20/2020,-0.063485464,-0.018522799,-0.039094305,-0.037558633,-0.000257174
3/23/2020,-0.021244135,0.030735292,-0.013180887,-0.009974434,0.015811747
3/24/2020,0.100325343,0.019586561,0.071983411,0.090895592,0.162817493
3/25/2020,-0.005508911,-0.027967605,-0.025123665,-0.009572456,0.067821765
3/26/2020,0.052623206,0.036933125,0.055645246,0.062551066,-0.020565621
3/27/2020,-0.041402231,-0.028325389,-0.045282489,-0.041060763,-0.026128394
3/30/2020,0.02853783,0.033603547,0.032469856,0.070340574,-0.023777149
3/31/2020,-0.002040661,-0.007245623,0.013643766,-0.015727215,0.043554462
4/1/2020,-0.052617045,-0.021551791,-0.051508146,-0.035508485,-0.080992391
4/2/2020,0.016686665,0.005834205,0.013546908,0.020708784,-0.056254665
4/3/2020,-0.014371674,-0.006378882,-0.021781033,-0.009210367,0.056197347
4/6/2020,0.087237632,0.047729225,0.082813211,0.074367995,0.075477575
4/7/2020,-0.011582277,0.007013456,-0.000532534,-0.010770401,0.056582237
4/8/2020,0.025594585,0.015609462,0.020667089,0.010031386,0.006214994
4/9/2020,0.007216484,-0.000117484,-0.000356326,6.04E-05,0.044020157
4/13/2020,0.019627443,0.061735066,0.003182635,0.002240461,0.136038393
4/14/2020,0.050503031,0.05276945,0.045290459,0.04948354,0.090544573
4/15/2020,-0.009127393,0.010668696,-0.00626757,-0.010477963,0.028088878
4/16/2020,0.007945929,0.043554542,0.000103215,0.030020863,0.021073402
4/17/2020,-0.01356879,-0.013782136,0.017154175,0.008811405,0.011647724
4/20/2020,-0.020756696,0.007835758,-0.013956235,-0.019820483,-0.009988248
4/21/2020,-0.03091016,-0.027360331,-0.038845491,-0.041357585,-0.07990778
4/22/2020,0.028803143,0.015192527,0.038154979,0.033965397,0.066096828
4/23/2020,-0.003875143,0.015214823,0.010139664,-0.012102491,-0.036169463
4/24/2020,0.028869584,0.004488511,0.004271736,0.018259233,0.027663245
4/27/2020,0.00070678,-0.014197862,-0.004496282,-0.002864827,0.101496222
4/28/2020,-0.016209331,-0.026060611,-0.030113424,-0.024360449,-0.037095477
4/29/2020,0.032844902,0.025336165,0.088910317,0.044873447,0.040812877
4/30/2020,0.021096138,0.042689574,0.003367604,0.010032446,-0.023272675
5/1/2020,-0.016099609,-0.075974092,-0.021816243,-0.025891562,-0.103033713
5/4/2020,0.014149275,0.013101236,0.004235718,0.02445995,0.085367588
5/5/2020,0.015008789,0.000781522,0.019744756,0.010736042,0.009222448
5/6/2020,0.01031713,0.014436139,-0.002661241,0.009847179,0.018705826
5/7/2020,0.010344952,0.006953695,0.017726548,0.0058071,-0.003245695
5/8/2020,0.02380191,0.005068389,0.0109988,0.005882324,0.050484563
5/11/2020,0.01573555,0.012350744,0.013905244,0.011154486,-0.009921649
5/12/2020,-0.0114287,-0.021606421,-0.020240675,-0.022651854,-0.00231727
5/13/2020,-0.012074215,0.004654321,-0.019524853,-0.015122591,-0.022794373
5/14/2020,0.006143339,0.008838926,0.00632612,0.004339593,0.015639193
5/15/2020,-0.005911826,0.008761548,0.011939555,0.014567983,-0.005178426
5/18/2020,0.023561158,0.006838841,0.008826828,0.009554498,0.018093786
5/19/2020,-0.005778497,0.009508427,-0.007782195,-0.006922292,-0.006907343
5/20/2020,0.019448293,0.019846275,0.025291058,0.013870757,0.009343957
