Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-01-02,72.40052032470703,94.90049743652344,67.87303161621094,152.1583709716797,28.68400001525879
2020-01-03,71.6966552734375,93.74849700927734,67.51797485351562,150.2637176513672,29.53400039672852
2020-01-06,72.26793670654297,95.1439971923828,69.31758880615234,150.65216064453125,30.1026668548584
2020-01-07,71.92806243896484,95.34300231933594,69.1836929321289,149.278564453125,31.270666122436523
2020-01-08,73.0851058959961,94.59850311279295,69.67613220214844,151.6562957763672,32.80933380126953
2020-01-09,74.63748168945312,95.05249786376952,70.40757751464844,153.55093383789062,32.089332580566406
2020-01-10,74.80622100830078,94.15799713134766,70.86233520507812,152.84042358398438,31.87666702270508
2020-01-13,76.4043960571289,94.56500244140624,71.41128540039062,154.67828369140625,34.990665435791016
2020-01-14,75.37269592285156,93.47200012207033,70.94316101074219,153.58885192871094,35.861331939697266
2020-01-15,75.04969787597656,93.10099792480467,71.37013244628906,154.5835418701172,34.56666564941406
2020-01-16,75.98981475830078,93.89700317382812,71.91363525390625,157.41603088378906,34.232666015625
2020-01-17,76.8310775756836,93.23600006103516,73.36959838867188,158.29701232910156,34.03333282470703
2020-01-21,76.3104248046875,94.5999984741211,73.50499725341797,157.72865295410156,36.47999954223633
2020-01-22,76.58279418945312,94.3730010986328,73.58531951904297,156.97080993652344,37.97066879272461
2020-01-23,76.95161437988281,94.22899627685548,73.62596893310547,157.93707275390625,38.14666748046875
2020-01-24,76.72985076904297,93.08200073242188,72.70758056640625,156.34552001953125,37.654666900634766
2020-01-27,74.47357940673828,91.41699981689452,70.99969482421875,153.73097229003906,37.20133209228516
2020-01-28,76.58039093017578,92.6624984741211,71.93050384521484,156.743408203125,37.79333114624024
2020-01-29,78.18341064453125,92.9000015258789,72.23794555664062,159.18751525878906,38.732666015625
2020-01-30,78.07010650634766,93.53399658203124,72.11646270751953,163.6777801513672,42.72066879272461
2020-01-31,74.60856628417969,100.43599700927734,71.0517578125,161.2621307373047,43.37133407592773
2020-02-03,74.4036865234375,100.20999908447266,73.52234649658203,165.19349670410156,52.0
2020-02-04,76.86000061035156,102.4834976196289,71.67809295654297,170.631103515625,59.137332916259766
2020-02-05,77.48674011230469,101.99349975585938,71.70982360839844,170.42271423339844,48.97999954223633
2020-02-06,78.39310455322266,102.5114974975586,73.19355773925781,173.95619201660156,49.93066787719727
2020-02-07,77.32754516601562,103.96399688720705,73.34927368164062,174.20249938964844,49.87133407592773
2020-02-10,77.69480895996094,106.69550323486328,74.81464385986328,178.75912475585938,51.41866683959961
2020-02-11,77.22605895996094,107.54000091552734,74.88408660888672,174.72352600097656,51.62533187866211
2020-02-12,79.06000518798828,108.0,75.30907440185547,174.9792938232422,51.15266799926758
2020-02-13,78.49699401855469,107.49349975585938,75.04920959472656,174.03201293945312,53.59999847412109
2020-02-14,78.516357421875,106.74349975585938,75.31401824951172,175.58560180664062,53.33533477783203
2020-02-18,77.07865142822266,107.78350067138672,75.34923553466797,177.36654663085938,57.22666549682617
2020-02-19,78.19496154785156,108.51100158691406,75.6185073852539,177.89849853515625,61.16133117675781
2020-02-20,77.39275360107422,107.65499877929688,75.22774505615234,175.18177795410156,59.96066665649414
2020-02-21,75.64097595214844,104.79850006103516,73.56497955322266,169.6438446044922,60.06666564941406
2020-02-24,72.04801940917969,100.4645004272461,70.41105651855469,162.32955932617188,55.58599853515625
2020-02-25,69.60758209228516,98.63700103759766,68.747802734375,159.6508026123047,53.32733154296875
2020-02-26,70.71182250976562,98.97949981689452,68.95360565185547,161.6456298828125,51.91999816894531
2020-02-27,66.08952331542969,94.21499633789062,65.20854187011719,150.2562713623047,45.26666641235352
2020-02-28,66.05084228515625,94.1875,66.41358184814453,153.8943634033203,44.53266525268555
2020-03-02,72.20024871826172,97.69750213623048,68.747802734375,164.1343536376953,49.574668884277344
2020-03-03,69.9072036743164,95.44950103759766,66.33773040771484,156.2691192626953,49.70066833496094
2020-03-04,73.14983367919922,98.79149627685548,68.51373291015625,162.00657653808594,49.96666717529297
2020-03-05,70.77708435058594,96.20149993896484,65.19912719726562,157.9409637451172,48.30266571044922
2020-03-06,69.83712768554688,95.05449676513672,64.25593566894531,153.47637939453125,46.89866638183594
2020-03-09,64.31356811523438,90.03050231933594,60.29119873046875,143.074951171875,40.53333282470703
2020-03-10,68.945556640625,94.59100341796876,63.23585891723633,152.85897827148438,43.02199935913086
2020-03-11,66.55101776123047,91.04299926757812,60.0486946105957,145.93417358398438,42.28200149536133
2020-03-12,59.97880935668945,83.83049774169922,55.12191390991211,132.09402465820312,37.369998931884766
2020-03-13,67.16474151611328,89.25,60.2158203125,150.87368774414062,36.44133377075195
